KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,RESULTADO
4222,76000,32594,1.407,45873,2.571,19,2013,12,Medio
4706,80000,34210,1.667,57017,1.364,20,2014,1,Medio
4500,72000,29095,3.6,104740,0.509,18,2014,2,Mucho
4200,84000,33944,7,237605,0.053,21,2014,3,Mucho
4222,76000,30711,3.455,106092,0.254,19,2014,4,Mucho
4000,44000,17710,2,35420,0.31,11,2014,5,Mucho
4000,36000,14517,2.25,32664,0.294,9,2014,6,Mucho
4222,76000,36162,1.152,41642,0.231,19,2014,7,Mucho
4000,76000,37616,0.927,34864,2.308,19,2014,8,Medio
4000,48000,22304,1.263,28173,0.702,12,2014,9,Mucho
4000,36000,14547,18,261851,0.48,9,2014,10,Mucho
4333,52000,21013,-2.167,-45528,-0.525,13,2014,11,Nada
3000,24000,9698,-2,-19396,-0.441,6,2014,12,Nada
4000,48000,19396,-6,-116378,-0.107,12,2015,1,Nada
3200,16000,6465,1,6465,-0.29,4,2015,2,Mucho
4400,44000,17780,1.375,24447,1.5,11,2015,3,Mucho
4571,32000,12574,1.333,16765,0.556,8,2015,4,Mucho
4000,20000,7486,1.111,8318,0.913,5,2015,5,Medio
5000,40000,14973,5,74864,0.25,10,2015,6,Mucho
4000,40000,14973,10,149727,0.261,10,2015,7,Mucho
5000,40000,14973,10,149727,0,10,2015,8,Mucho
4800,24000,8984,0.923,8293,0.2,6,2015,9,Mucho
4000,32000,11978,0.552,6609,1.269,8,2015,10,Mucho
4364,48000,17846,0.706,12597,2.25,12,2015,11,Medio
4364,48000,16516,1.2,19820,1.846,12,2015,12,Nada
5333,16000,5505,2,11011,0.375,4,2016,1,Mucho
0,0,0,0,0,0,0,2016,2,Nada
4500,27000,6943,1.333,9257,0,6,2016,3,Mucho
4500,31500,8100,0.778,6300,2.7,7,2016,4,Nada
5250,31500,8100,1.273,10309,2.077,7,2016,5,Medio
4500,40500,15046,3,45139,0.3,9,2016,6,Mucho
4500,18000,6687,2,13375,0.522,4,2016,7,Mucho
4500,45000,15450,0,0,0,10,2016,8,Nada
4500,40500,13778,2.571,35430,0,9,2016,9,Mucho
