KPI_TIKET_MEDIO,KPI_CIFRA_VENTAS,KPI_MARGEN_COMERCIAL,KPI_ROTACION_STOCK,KPI_COEF_RENTABILIDAD,KPI_COBERTURA_STOCK,CANTIDAD,ANHO,MES,QUINCENA,RESULTADO
4444,40000,17155,0.769,13196,2.571,10,2013,12,23,Mucho
4000,36000,15439,0.621,9583,1.75,9,2013,12,24,Mucho
4444,40000,17155,1,17155,1.667,10,2014,1,1,Medio
5000,40000,17055,1.429,24365,0.517,10,2014,1,2,Mucho
4000,36000,14547,2,29095,0.931,9,2014,2,3,Medio
5143,36000,14547,18,261851,0,9,2014,2,4,Mucho
4364,48000,19396,1.6,31034,0.107,12,2014,3,5,Mucho
4000,36000,14547,0.947,13782,1.4,9,2014,3,6,Medio
4500,36000,14547,1.636,23805,0.5,9,2014,4,7,Mucho
4000,40000,16164,1.667,26939,0.6,10,2014,4,8,Medio
4000,24000,9678,0.75,7259,0.643,6,2014,5,9,Nada
4000,20000,8032,0.667,5355,1.2,5,2014,5,10,Nada
4000,12000,4819,0.429,2065,0.714,3,2014,6,11,Mucho
4000,24000,9698,1,9698,1.929,6,2014,6,12,Nada
4444,40000,18344,0.476,8735,0.643,10,2014,7,13,Medio
4000,36000,17818,0.261,4648,6.158,9,2014,7,14,Medio
4000,44000,21778,0.449,9778,3.6,11,2014,8,15,Mucho
4000,32000,15838,0.533,8447,1.9,8,2014,8,16,Mucho
4000,36000,17455,0.783,13660,1.179,9,2014,9,17,Medio
4000,12000,4849,0.3,1455,1.286,3,2014,9,18,Nada
4000,16000,6465,0.667,4310,1.2,4,2014,10,19,Mucho
4000,20000,8082,-3.333,-26939,0.75,5,2014,10,20,Nada
4000,28000,11315,-0.875,-9900,-1.75,7,2014,11,21,Nada
4800,24000,9698,-0.857,-8313,-1.688,6,2014,11,22,Nada
2000,8000,3233,-0.333,-1078,-0.833,2,2014,12,23,Nada
4000,16000,6465,-1,-6465,-1.4,4,2014,12,24,Nada
4000,8000,3233,0.667,2155,-0.25,2,2015,1,1,Medio
4000,40000,16164,5,80818,2.625,10,2015,1,2,Medio
0,0,0,0,0,-0.563,0,2015,2,3,Nada
3200,16000,6465,0.727,4702,0,4,2015,2,4,Medio
4667,28000,11315,0.933,10560,2.357,7,2015,3,5,Nada
4000,16000,6465,0.889,5747,1.091,4,2015,3,6,Medio
5333,16000,6465,1.333,8621,1,4,2015,4,7,Medio
4000,16000,6108,1,6108,0.2,4,2015,4,8,Mucho
4000,4000,1497,0.154,230,1.75,1,2015,5,9,Nada
4000,16000,5989,1,5989,2,4,2015,5,10,Medio
5333,16000,5989,0.8,4791,0.667,4,2015,6,11,Mucho
4800,24000,8984,1.2,10780,2.667,6,2015,6,12,Nada
4000,16000,5989,1,5989,0.429,4,2015,7,13,Mucho
4000,24000,8984,2,17967,1.286,6,2015,7,14,Mucho
4000,12000,4492,0.667,2995,0,3,2015,8,15,Medio
5600,28000,10481,1.273,13339,2.077,7,2015,8,16,Nada
8000,8000,2995,2,5989,0.375,2,2015,9,17,Mucho
4000,16000,5989,0.727,4356,0,4,2015,9,18,Medio
4000,28000,10481,0.7,7337,2.538,7,2015,10,19,Medio
4000,4000,1497,0.074,111,2.077,1,2015,10,20,Nada
4400,44000,16470,0.88,14494,4.5,11,2015,11,21,Medio
4000,4000,1376,0.087,120,1.105,1,2015,11,22,Nada
4000,16000,5505,0.286,1573,3.692,4,2015,12,23,Nada
4571,32000,11011,1,11011,2.25,8,2015,12,24,Medio
5333,16000,5505,2,11011,0.923,4,2016,1,1,Medio
0,0,0,0,0,0,0,2016,1,2,Nada
0,0,0,0,0,0,0,2016,2,3,Nada
0,0,0,0,0,0,0,2016,2,4,Nada
0,0,0,0,0,0,0,2016,3,5,Nada
4500,27000,6943,1.333,9257,0,6,2016,3,6,Mucho
4500,13500,3471,0.4,1389,4.5,3,2016,4,7,Nada
4500,18000,4629,0.533,2469,2,4,2016,4,8,Nada
4500,9000,2314,0.25,579,2.077,2,2016,5,9,Nada
5625,22500,5786,1.111,6429,2.333,5,2016,5,10,Nada
4500,27000,10031,4,40124,0.545,6,2016,6,11,Mucho
4500,13500,5015,1.2,6019,0.231,3,2016,6,12,Mucho
4500,18000,6687,2,13375,0.857,4,2016,7,13,Medio
0,0,0,0,0,0,0,2016,7,14,Nada
4500,4500,1672,0.222,372,0,1,2016,8,15,Nada
4500,40500,13778,2,27556,5.4,9,2016,8,16,Medio
4500,27000,9185,3,27556,0,6,2016,9,17,Mucho
4500,13500,4593,0.545,2505,0.75,3,2016,9,18,Mucho
